gene_symbol	n_variants
MIR325HG	3
MIR34AHG	3
MIR3945HG	3
MIR4435-2HG	3
MKRN2OS	3
MMP11	3
MMP23B	3
MOB2	3
MOB4	3
MRGPRD	3
MRPL41	3
MRPL51	3
MRPS30-DT	3
MSANTD1	3
MSRB3-AS1	3
MTDHP4	3
MTHFSD	3
MUC12	3
MYADM-AS1	3
MYADML2	3
MYBPC3	3
MYH9	3
NAAA	3
NAMPTP1	3
NBPF12	3
NBPF2P	3
NCR1	3
NDST1-AS1	3
NEK3	3
NFIC	3
NGF-AS1	3
NIFKP7	3
NKTR	3
NLRP12	3
NME8	3
NOTCH1	3
NOX4P1	3
NPAS3	3
NPHS1	3
NPM1P47	3
NPW	3
NPY6R	3
NR1H3	3
NR2F1-AS1	3
NRG1-IT1	3
NSMCE1	3
NUDT21	3
NXNL1	3
ODAD4	3
OGG1	3
OR10G3	3
OR2AP1	3
OR4C14P	3
OR4C7P	3
OR5P3	3
OR6C1	3
OR7E140P	3
OR7E148P	3
OR7E1P	3
OR7E85BP	3
OR7G2	3
OSMR-DT	3
PABPC1P6	3
PART1	3
PCCA-DT	3
PDE12	3
PDE4DIPP9	3
PDGFDDN	3
PDLIM1	3
PEDS1	3
PEX11G	3
PGAM2	3
PGBD4P5	3
PGP	3
PGR-AS1	3
PHF2P2	3
PHGR1	3
PIGL	3
PITPNM3	3
PKD1P6-NPIPP1	3
PMS2P3	3
POC1B-AS1	3
POLM	3
POM121L2	3
POM121L4P	3
PPIA	3
PPP1CB-DT	3
PRAMEF18	3
PRELID1P6	3
PRMT5	3
PROS2P	3
PROSER2-AS1	3
PRPF31	3
PRR14L	3
PTCSC2	3
PTGER4P2	3
RAB33B-AS1	3
RAB5IF	3
RB1	3
RBM43P1	3
RBMS3-AS3	3
RBMX	3
RCC2P5	3
RCN3	3
REEP6	3
RFC5P1	3
RGS10	3
RMEL3	3
RNA5SP204	3
RNA5SP504	3
RND2	3
RNF169	3
RNF216P1	3
RNU6-318P	3
RNU6-338P	3
RNU6-572P	3
RNU6-63P	3
RNU6-973P	3
RNU7-62P	3
RORB-AS1	3
RP9P	3
RPF2	3
RPL13AP26	3
RPL3P7	3
RPL7P41	3
RPS12P18	3
RPS26P6	3
RPS3	3
RPS6KA2-AS1	3
RPSAP4	3
RPSAP49	3
RRS1-DT	3
RSKR	3
SAA2	3
SACS	3
SAFB	3
SASH1	3
SAXO1	3
SCN1A-AS1	3
SCOC-AS1	3
SDC4	3
